[25-Sep-2018 20:31:25 Brazil/East] PHP Notice:  Undefined index: use in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 11
[25-Sep-2018 20:31:25 Brazil/East] PHP Warning:  mysqli_connect(): (HY000/1045): Access denied for user ''@'localhost' (using password: YES) in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 11
[25-Sep-2018 20:31:25 Brazil/East] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 14
[25-Sep-2018 20:31:25 Brazil/East] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 15
[25-Sep-2018 20:31:25 Brazil/East] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 16
[25-Sep-2018 20:31:25 Brazil/East] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 17
[25-Sep-2018 20:31:25 Brazil/East] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 21
[25-Sep-2018 20:31:25 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 25
[25-Sep-2018 20:31:56 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 25
[25-Sep-2018 20:55:39 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:55:39 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:55:39 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:11 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:11 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:11 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:43 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:43 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:43 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:45 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:45 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:45 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:45 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:45 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:45 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:45 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:45 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:45 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:45 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:45 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 20:56:45 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 34
[25-Sep-2018 22:07:55 Brazil/East] PHP Notice:  Undefined variable: ref in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 44
[25-Sep-2018 22:07:55 Brazil/East] PHP Notice:  Undefined variable: ref in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 44
[25-Sep-2018 22:07:55 Brazil/East] PHP Notice:  Undefined variable: ref in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 44
[25-Sep-2018 22:25:41 Brazil/East] PHP Notice:  Undefined variable: resultD in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 67
[25-Sep-2018 22:25:41 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 67
[25-Sep-2018 22:25:41 Brazil/East] PHP Notice:  Undefined variable: resultD in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 67
[25-Sep-2018 22:25:41 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 67
[25-Sep-2018 22:25:41 Brazil/East] PHP Notice:  Undefined variable: resultD in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 67
[25-Sep-2018 22:25:41 Brazil/East] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /home/elitebook/Documents/unifeob/projeto/automatiza/automatizador.php on line 67
